Date,Open,High,Low,Close,Volume
2024-01-02,4745.2,4754.33,4722.67,4742.83,2438700029
2024-01-03,4725.07,4729.29,4699.71,4704.81,2459537218
2024-01-04,4697.42,4726.78,4687.53,4688.68,2371772728
2024-01-05,4690.57,4721.49,4682.11,4697.24,2211672077
2024-01-08,4703.7,4764.54,4699.82,4763.54,2311628659
2024-01-09,4741.93,4765.47,4730.35,4756.5,2241198577
2024-01-10,4759.94,4790.8,4756.2,4783.45,2165979629
2024-01-11,4792.13,4798.5,4739.58,4780.24,2320989197
2024-01-12,4791.18,4802.4,4768.98,4783.83,2251917810
2024-01-16,4772.35,4782.34,4747.12,4765.98,2601533887
2024-01-17,4739.13,4744.23,4714.82,4739.21,2323282256
2024-01-18,4760.1,4785.79,4740.57,4780.94,2595424433
2024-01-19,4796.28,4842.07,4785.87,4839.81,2778139489
2024-01-22,4853.42,4868.41,4844.05,4850.43,2674489114
2024-01-23,4856.8,4866.48,4844.37,4864.6,2409552852
2024-01-24,4888.56,4903.68,4865.94,4868.55,2709582602
2024-01-25,4886.66,4898.15,4869.34,4894.16,2925824199
2024-01-26,4888.91,4906.69,4881.47,4890.97,2391994169
2024-01-29,4892.95,4929.31,4887.4,4927.93,2318280410
2024-01-30,4925.89,4931.09,4916.27,4924.97,2599908804
2024-01-31,4899.19,4906.75,4845.15,4845.65,3304847212
2024-02-01,4861.11,4906.97,4853.52,4906.19,2850372778
2024-02-02,4916.06,4975.29,4907.99,4958.61,2805437389
2024-02-05,4957.19,4957.19,4918.09,4942.81,2594978093
2024-02-06,4950.16,4957.77,4934.88,4954.23,2488633314
2024-02-07,4973.05,4999.89,4969.05,4995.06,2600464337
2024-02-08,4995.16,5000.4,4987.09,4997.91,2439217345
2024-02-09,5004.17,5030.06,5000.34,5026.61,2314039033
2024-02-12,5026.83,5048.39,5016.83,5021.84,2243585026
2024-02-13,4967.94,4971.3,4920.31,4953.17,2596243811
2024-02-14,4976.44,5002.52,4956.45,5000.62,2324738755
2024-02-15,5003.14,5032.72,4999.44,5029.73,2448592265
2024-02-16,5031.13,5038.7,4999.52,5005.57,2321398576
2024-02-20,4989.32,4993.71,4955.02,4975.51,2479202447
2024-02-21,4963.03,4983.21,4946.0,4981.8,2285353273
2024-02-22,5038.83,5094.39,5038.83,5087.03,2587708301
2024-02-23,5100.92,5111.06,5081.46,5088.8,2261782711
2024-02-26,5093.0,5097.66,5068.91,5069.53,2259650376
2024-02-27,5074.6,5080.69,5057.29,5078.18,2154332795
2024-02-28,5067.2,5077.37,5058.35,5069.76,2091422108
2024-02-29,5085.36,5104.99,5061.89,5096.27,3317173868
2024-03-01,5098.51,5140.33,5094.16,5137.08,2477695327
2024-03-04,5130.99,5149.67,5127.18,5130.95,2818607654
2024-03-05,5110.52,5114.54,5056.82,5078.65,2679706658
2024-03-06,5108.03,5127.97,5092.22,5104.76,2601927495
2024-03-07,5132.38,5165.62,5128.21,5157.36,2385022115
2024-03-08,5164.46,5189.26,5117.5,5123.69,2426961467
2024-03-11,5111.96,5124.66,5091.14,5117.94,2202734060
2024-03-12,5134.3,5179.87,5114.48,5175.27,2310772429
2024-03-13,5173.49,5179.14,5151.88,5165.31,2415696749
2024-03-14,5175.14,5176.85,5123.3,5150.48,2640696835
2024-03-15,5123.31,5136.86,5104.35,5117.09,5130706705
2024-03-18,5154.77,5175.6,5145.47,5149.42,2399639733
2024-03-19,5139.09,5180.31,5131.59,5178.51,2203396793
2024-03-20,5181.69,5226.19,5171.55,5224.62,2325178060
2024-03-21,5253.43,5261.1,5240.66,5241.53,2526285033
2024-03-22,5242.48,5246.09,5229.87,5234.18,2016955324
2024-03-25,5219.52,5229.09,5216.09,5218.19,2087907897
2024-03-26,5228.85,5235.16,5203.42,5203.58,2263813090
2024-03-27,5226.31,5249.26,5213.92,5248.49,2286418193
2024-03-28,5248.03,5264.85,5245.82,5254.35,2404021251
2024-04-01,5257.97,5263.95,5229.2,5243.77,1976432105
2024-04-02,5204.29,5208.34,5184.05,5205.81,2374146858
2024-04-03,5194.37,5228.75,5194.37,5211.49,2287219066
2024-04-04,5244.05,5256.59,5146.06,5147.21,2526870842
2024-04-05,5158.95,5222.18,5157.21,5204.34,2189563251
2024-04-08,5211.37,5219.57,5197.35,5202.39,2000910024
2024-04-09,5217.03,5224.81,5160.78,5209.91,2035068912
2024-04-10,5167.88,5178.43,5138.7,5160.64,2297703488
2024-04-11,5172.95,5211.78,5138.77,5199.06,2225501129
2024-04-12,5171.51,5175.03,5107.94,5123.41,2437575759
2024-04-15,5149.67,5168.43,5052.47,5061.82,2319451668
2024-04-16,5064.59,5079.84,5039.83,5051.41,2347349557
2024-04-17,5068.97,5077.96,5007.25,5022.21,2295627862
2024-04-18,5031.52,5056.66,5001.89,5011.12,2217368600
2024-04-19,5005.44,5019.02,4953.56,4967.23,2735280288
2024-04-22,4987.33,5038.84,4969.4,5010.6,2352808739
2024-04-23,5028.85,5076.12,5027.96,5070.55,2346599683
2024-04-24,5084.86,5089.48,5047.02,5071.63,2548618761
2024-04-25,5019.88,5057.75,4990.58,5048.42,2714067024
2024-04-26,5084.65,5114.62,5073.14,5099.96,2411681661
2024-04-29,5114.13,5123.49,5088.65,5116.17,2358542839
2024-04-30,5103.78,5110.83,5035.31,5035.69,2794500429
2024-05-01,5029.03,5096.12,5013.45,5018.39,2897659203
2024-05-02,5049.32,5073.21,5011.05,5064.2,2623809616
2024-05-03,5122.78,5139.12,5101.22,5127.79,2454686447
2024-05-06,5142.42,5181.0,5142.42,5180.74,2196280800
2024-05-07,5187.2,5200.23,5178.96,5187.7,2293458854
2024-05-08,5168.98,5191.95,5165.86,5187.67,2107757418
2024-05-09,5189.03,5215.3,5180.41,5214.08,1975552229
2024-05-10,5225.49,5239.66,5209.68,5222.68,1878510189
2024-05-13,5233.08,5237.26,5211.16,5221.42,1961589631
2024-05-14,5221.1,5250.37,5217.98,5246.68,2035819885
2024-05-15,5263.26,5311.76,5263.26,5308.15,2316274995
2024-05-16,5310.07,5325.49,5296.19,5297.1,2208658193
2024-05-17,5303.1,5305.45,5283.59,5303.27,1970449920
2024-05-20,5305.35,5325.32,5302.4,5308.13,1850085770
2024-05-21,5298.69,5324.32,5297.87,5321.41,1989595940
2024-05-22,5319.28,5323.18,5286.01,5307.01,2094854091
2024-05-23,5340.26,5341.88,5256.93,5267.84,2298491779
2024-05-24,5281.45,5311.65,5278.39,5304.72,1742668171
2024-05-28,5315.91,5315.91,5280.89,5306.04,2121768716
2024-05-29,5278.73,5282.27,5262.7,5266.95,2262811675
2024-05-30,5259.77,5260.21,5222.1,5235.48,2347065836
2024-05-31,5243.21,5280.33,5191.68,5277.51,3926771337
2024-06-03,5297.15,5302.11,5234.32,5283.4,2312234085
2024-06-04,5278.24,5298.8,5257.63,5291.34,2176202870
2024-06-05,5314.48,5354.16,5297.64,5354.03,2173890233
2024-06-06,5357.8,5362.35,5335.36,5352.96,2038598824
2024-06-07,5343.81,5375.08,5331.33,5346.99,1873173209
2024-06-10,5341.22,5365.79,5331.52,5360.79,2464401855
2024-06-11,5353.0,5375.95,5327.25,5375.32,2345183455
2024-06-12,5409.13,5447.25,5409.13,5421.03,2719670709
2024-06-13,5441.93,5441.93,5402.51,5433.74,2422956962
2024-06-14,5424.08,5432.39,5403.75,5431.6,2263451050
2024-06-17,5431.11,5488.5,5420.4,5473.23,2441679412
2024-06-18,5476.15,5490.38,5471.32,5487.03,2464316280
2024-06-20,5499.99,5505.53,5455.56,5473.17,2911217741
2024-06-21,5466.77,5478.31,5452.03,5464.62,5250419839
2024-06-24,5459.58,5490.66,5447.59,5447.87,2784702853
2024-06-25,5460.73,5472.88,5446.56,5469.3,2621644040
2024-06-26,5460.71,5483.14,5451.87,5477.9,2599403409
2024-06-27,5473.59,5490.81,5467.54,5482.87,2479600758
2024-06-28,5488.48,5523.64,5451.12,5460.48,4197548072
2024-07-01,5471.08,5479.55,5446.53,5475.09,2433991467
2024-07-02,5461.84,5509.69,5458.43,5509.01,2342512009
2024-07-03,5507.44,5539.27,5507.42,5537.02,1561072809
2024-07-05,5537.91,5570.33,5531.63,5567.19,2263729908
2024-07-08,5572.75,5583.11,5562.51,5572.85,2332765276
2024-07-09,5584.24,5590.75,5574.57,5576.98,2413050509
2024-07-10,5591.26,5635.39,5586.44,5633.91,2301402646
2024-07-11,5635.21,5642.45,5576.53,5584.54,2887487972
2024-07-12,5590.76,5655.56,5590.44,5615.35,2472649993
2024-07-15,5638.16,5666.94,5614.75,5631.22,2410721815
2024-07-16,5644.09,5669.67,5639.02,5667.2,2528071451
2024-07-17,5610.07,5622.49,5584.81,5588.27,3173114918
2024-07-18,5608.56,5614.05,5522.81,5544.59,2935073001
2024-07-19,5543.37,5557.5,5497.04,5505.0,2649224224
2024-07-22,5544.54,5570.36,5529.04,5564.41,2525550865
2024-07-23,5565.3,5585.34,5550.9,5555.74,2425966152
2024-07-24,5505.84,5508.04,5419.98,5427.13,3050597564
2024-07-25,5428.7,5491.59,5390.95,5399.22,3529408636
2024-07-26,5433.67,5488.32,5430.7,5459.1,2644512496
2024-07-29,5476.55,5487.74,5444.44,5463.54,2380028599
2024-07-30,5478.73,5489.46,5401.7,5436.44,3024984923
2024-07-31,5505.59,5551.51,5493.75,5522.3,3466915317
2024-08-01,5537.84,5566.16,5410.42,5446.68,3465998526
2024-08-02,5376.63,5383.89,5302.03,5346.56,4005791030
2024-08-05,5151.14,5250.89,5119.26,5186.33,4013798197
2024-08-06,5206.42,5312.34,5193.56,5240.03,3179578829
2024-08-07,5293.13,5330.64,5195.54,5199.5,2994459938
2024-08-08,5252.57,5328.03,5233.85,5319.31,2714860214
2024-08-09,5314.66,5358.67,5300.84,5344.16,2195024918
2024-08-12,5351.88,5371.2,5324.37,5344.39,2285608247
2024-08-13,5376.98,5436.5,5376.98,5434.43,2602423658
2024-08-14,5442.36,5463.22,5415.91,5455.21,2352132914
2024-08-15,5501.13,5546.23,5501.13,5543.22,2676735788
2024-08-16,5530.5,5561.98,5525.17,5554.25,2290560567
2024-08-19,5557.23,5608.3,5550.74,5608.25,2091521270
2024-08-20,5602.88,5620.51,5585.5,5597.12,2143953087
2024-08-21,5603.09,5632.68,5591.57,5620.85,2043181668
2024-08-22,5637.77,5643.22,5560.95,5570.64,2229614521
2024-08-23,5602.49,5641.82,5585.16,5634.61,2217187088
2024-08-26,5639.66,5651.62,5602.34,5616.84,2019362094
2024-08-27,5602.89,5631.18,5593.48,5625.8,1985907243
2024-08-28,5624.51,5627.03,5560.95,5592.18,2195175203
2024-08-29,5607.3,5646.95,5583.71,5591.96,2330884305
2024-08-30,5612.74,5651.37,5581.79,5648.4,2763540635
2024-09-03,5623.89,5623.89,5504.33,5528.93,2918660358
2024-09-04,5506.68,5552.99,5503.66,5520.07,2507929516
2024-09-05,5520.08,5546.3,5480.54,5503.41,2459175279
2024-09-06,5507.33,5522.47,5402.62,5408.42,2846447424
2024-09-09,5442.07,5484.2,5434.49,5471.05,2596711180
2024-09-10,5490.51,5497.91,5441.72,5495.52,2556010161
2024-09-11,5496.42,5560.41,5406.96,5554.13,2840609874
2024-09-12,5557.48,5600.71,5535.5,5595.76,2599880993
2024-09-13,5603.34,5636.27,5601.65,5626.02,2218001699
2024-09-16,5615.21,5636.05,5604.53,5633.09,2355704324
2024-09-17,5655.51,5670.81,5614.05,5634.58,2352005863
2024-09-18,5641.68,5689.75,5615.08,5618.26,2478222849
2024-09-19,5702.63,5733.57,5686.42,5713.64,2802061343
2024-09-20,5709.64,5715.14,5674.49,5702.55,5746133311
2024-09-23,5711.9,5725.36,5704.22,5718.57,2421690533
2024-09-24,5727.66,5735.32,5698.99,5732.93,2560831360
2024-09-25,5733.65,5741.03,5712.06,5722.26,2461681291
2024-09-26,5762.22,5767.37,5721.01,5745.37,2772978914
2024-09-27,5755.36,5763.78,5727.34,5738.17,2330866872
2024-09-30,5726.52,5765.14,5703.53,5762.48,2525809879
2024-10-01,5757.73,5757.73,5681.28,5708.75,2660892168
2024-10-02,5698.14,5719.63,5674.0,5709.54,2249151383
2024-10-03,5698.19,5718.78,5677.37,5699.94,2210219663
