side,entry_time,entry_idx,entry_price,exit_time,exit_idx,exit_price,pnl,bars_held,exit_reason,rsi_exit,macd_exit,signal_exit,macd_hist_exit,atr_exit
short,26-03-2025 15.00,17841,5820.75,26-03-2025 15.05,17842,5819.75,98.7,1,MACD_cross,47.69042875769647,-0.968560743609487,-1.0347650175627512,0.06620427395326423,2.524227596746364
short,27-03-2025 7.00,18021,5749.75,27-03-2025 7.20,18025,5754.052529603476,-431.5529603475705,4,SL,61.06707050324755,1.4852793332975125,1.492561737840148,-0.007282404542635401,2.6953426177438202
short,27-03-2025 19.20,18169,5748.5,27-03-2025 19.25,18170,5754.0,-551.3,1,MACD_cross,56.44889470592355,-3.665841986327905,-4.185576641528488,0.5197346552005833,7.0005108041220065
long,28-03-2025 12.05,18358,5743.5,28-03-2025 12.10,18359,5743.5,-1.3,1,MACD_cross,49.02136719535714,0.5401707937480751,0.5433594326314704,-0.0031886388833952672,1.6611031250216237
long,01-04-2025 4.45,18822,5639.5,01-04-2025 4.55,18824,5636.5,-301.3,2,MACD_cross,45.144369645149716,-0.3590734161571163,-0.1689373405767915,-0.1901360755803248,5.208429946703498
long,01-04-2025 11.10,18899,5635.25,01-04-2025 11.15,18900,5634.0,-126.3,1,MACD_cross,44.64883896204886,0.8303035267517771,0.9686073601680559,-0.13830383341627883,2.4532222671542723
short,03-04-2025 8.10,19415,5553.25,03-04-2025 8.15,19416,5560.0,-676.3,1,MACD_cross,58.17368314449166,3.7989181695638763,3.5775972049955236,0.2213209645683527,9.324207900641575
short,03-04-2025 8.45,19422,5553.0,03-04-2025 9.35,19432,5560.5,-751.3,10,MACD_cross,57.710982648780224,1.6084486418103552,1.4716989067031039,0.1367497351072513,6.735616487284273
short,03-04-2025 10.15,19440,5555.5,03-04-2025 11.00,19449,5540.842845597369,1464.4154402631023,9,TP,34.30202550575031,-1.6135244759152556,0.20812909293231796,-1.8216535688475735,5.832488109587688
short,03-04-2025 18.55,19544,5512.25,03-04-2025 19.00,19545,5526.901613251582,-1466.4613251581693,1,SL,64.13140756110333,-2.735231914448377,-4.7815341418989155,2.0463022274505382,11.284332012884146
short,03-04-2025 23.10,19595,5494.75,03-04-2025 23.40,19601,5466.516539681231,2822.0460318769174,6,TP,32.500827060958315,-5.539612872661564,-3.011853421175714,-2.52775945148585,10.3104769533092
short,04-04-2025 7.35,19684,5422.0,04-04-2025 7.40,19685,5424.25,-226.3,1,MACD_cross,53.513103196370466,-1.5313821124109381,-1.6997542474098783,0.16837213499894021,4.761757776794344
short,04-04-2025 20.30,19839,5257.75,04-04-2025 20.35,19840,5239.75,1798.7,1,MACD_cross,48.68680829868576,-16.950232276449242,-18.96640108243827,2.016168805989029,28.910100743580664
short,07-04-2025 8.10,19966,4960.5,07-04-2025 10.00,19988,4912.75683667829,4773.01633217102,22,TP,38.50302362386123,-8.050730452042444,-6.257476565524566,-1.7932538865178778,13.860997265226437
long,07-04-2025 18.30,20090,4983.5,07-04-2025 18.35,20091,4972.5,-1101.3,1,MACD_cross,45.24822930537862,1.7018791053878886,3.1768000860654566,-1.474920980677568,25.53747915379464
